Brouwer;Naam;Soort;Percentage
VAN MOLL;NIRVANA;Dry-hopped witbier;5.2%
VAN MOLL;MAIN STAGE;Modern Westcoast IPA;5.8%
VAN MOLL;DREAMCATCHER;NEIPA;6%
VAN MOLL;HOLY HOPSTER;IPA with oranges and mandarins;6%
VAN MOLL;TOEWIJDING;Belgian blonde ale;6.5%
VAN MOLL;THREE AMIGOS;Cathaca brrel-aged Belgian strong ale;9.5%
VAN MOLL;THE AZTEC MYSTIC;Mexican spiced imperial stout;10%
VAN MOLL;DE KOP IS ERAF;Quadruple NEIPA;13.5%
VAN MOLL;DE STOUT VAN HURMUZ;Dubai stout;11%
DOK;SHIRLEY;Session IPA;4.3%
DOK;STAAT DIE F*****G DAMPKAP AAN?;Smoked Vaerzen;5.6%
DOK;TOOTSKE;Fig leaf wild ale;6.5%
DOK;YOU DRIVER! KIEKIOS! OPUS!;Imperial rye saison;7%
GAMMA;UNDULATION ;Sour w raspberry, rhubarb S blackcurrant ;5%
GAMMA;ENANTIOMER;Westcoast IPA;6.5%
GAMMA;CORT CLOUD;Double IPA;8%
GAMMA;OBJECT MAGNITUDE;Bourbon barrel aged imperial stout;11%
HOP HOOLIGANS;RAINBOW EYES: PEACH MANGO;Ice cream smoothie;6%
HOP HOOLIGANS;NUTBUSTERS: THE THREEOUEL;Double milkshake IPA;8%
HOP HOOLIGANS;LIFE ETERNAL;Triple NEIPA;10%
HOP HOOLIGANS;LUNCH BOX BULLY;Peanut butter S jelly imperial stout;12%
HOPPY PEOPLE;EXTRATROPICAL CYCLONE;Coconut, mango, passionfruit and banana sour;5.3%
HOPPY PEOPLE;STIGMATA;Double NEIPA;7.2%
HOPPY PEOPLE;CA PLANE POUR HOI;Double NEIPA;7.5%
HOPPY PEOPLE;MOONFALL;Double NEIPA;8%
JOPEN;GUAVE GOT THE LOVE;Session IPA;3.5%
JOPEN;DISCO GINFERNO;Gins Tonic IPA;6.5%
JOPEN;DUBBEL WIT;Heavy witbier;7.5%
JOPEN;HIBERNATION;American barley wine;10%
KEES;ZEEUWSE LUST;Weizen;5%
KEES;OATMEAL STOUT;Oatmeal stout;5%
KEES;LA CRISPISSIMA;Italian pilsner;5%
KEES;DOUBLE HAZE;Double NEIPA;8%
KEES;SUPER COLLAB;Dark barley wine;12.8%
KEES;BOTTLE BREW #9;BA imperial porter/stout blend;15%
KOMPAAN;INNER FIRE;cold IPA;5%
KOMPAAN;SWEET SCIENCE;Westcoast IPA;7%
KOMPAAN;SUN BLOCK;Imperial stout;11.4%
KOMPAAN;BEAST MODE - SUWO WITCH;Sliyovic barrel-aged quadruple;11.5%
DE KROWE HARING;SNAPPER;Low ABV Saison;2.5%
DE KROWE HARING;TUCUXI;Fruited sour;5.2%
DE KROWE HARING;INKTVIS;Black IPA;6%
DE KROWE HARING;WHALE SHARK MOSAIC CRY/CRYO pop;Double NEIPA;8%
KYKAO;KVEIK NEIPA;Farmhouse NEIPA;8%
KYKAO;HOPPY DIPA;Double IPA;9%
KYKAO;MEMORIES OF GREEN;Greek grape IPA w grape skins S wild thyme flowers ;10%
KYKAO;BARREL-AGED CAROB S CHESTNUT; IMPERIAL BROWN ALE;14%
MAD SCIENTIST;DDH JUICEHOUSE;New England pale ale;5.5%
MAD SCIENTIST;RASPBERRY ESPRESS O;Raspberry-Coffee Sour Candy Braqgot;7.2%
MAD SCIENTIST;MONTE CARLO;Westcoast IPA;7.3%
MAD SCIENTIST;TROPICAL SPACE MUFFIN 2026;Tropical imperial pastry sour braqgot;9.7%
MESSOREM; FARDEAU XTRM TURBO;NE IPA;6.2%
MESSOREM;DEMOLIRI #0027;NE-IPA;7%
MESSOREM;LANCE AUX CROCOS;NE-IPA;7.3%
MESSOREM;TEMPORALIS #0056 - XTRM TURBO;Triple NEIPA;10%
MOON LARK ;ONE MORE...;North German Pilsner;5.3%
MOON LARK ;MARINE.;New Zealand NEIPA;6%
MOON LARK ;FRESH.;Westcoast IPA;6.5%
MOON LARK ;TRAP.;Imperial Stout;11%
OERSOEP;FRUITY FLO;Mango/Yuzu pale ale;4.5%
OERSOEP;RUN FOREST RUN;Isotone Withier;4.5%
OERSOEP;WILLY WEIZEN;Hoppv Weizen;5.2%
OERSOEP;INDIANA JANE;Juicy IPA;5.5%
OERSOEP;FRYING DUTCHMEN;Pataadje blond;6%
OERSOEP;LAZY DAISY;Modern saison;6.5%
OERSOEP;TEDDY COOL;Badass tripel;8.5%
OPROER;24/7;Session IPA;3.9%
OPROER;BLACK FLAG;Black IPA;6.5%
OPROER;REFUSE RESIST;Double IPA;8.5%
OPROER;CEAUX CANE;Smoked pepper imperial pale ale;10%
POHJALA;LIMONCELLO;IPA with lemon peel;5.5%
POHJALA;GOLDEN PLUM SOUR;Sour ale with Mirabelle plums;5.6%
POHJALA;BONFIRE BANGER;Imperial stout with marshmallows;12.5%
POHJALA; TIMELESS TREASURES SIREN;Whisky BA imperial stout (Frontaal collab) ;13.5%
SIREN;OCEAN SIZE;Hazy pale ale;5.1%
SIREN;TRUE COLOURS;Passion fruit martini sour;5.5%
SIREN;PILLOW TALK;NE-IPA;6%
SIREN;DARK CHOCOLATE CARIBBEAN CHOCOLATE CAKE;Tropical stout cacao S cypress wood;7.4%
SOFIA ELECTRIC;KISEL: DRACONFRUIT S PASSIONFRIJIT ;sour ale with dragon fruits passionfruit;3.6%
SOFIA ELECTRIC;KISEL: CUCUMBER & JUNPIER;Sour ale with cucumber &juniper berries ;4%
SOFIA ELECTRIC; OVERFLOW SQUARED (2026);Double NEIPA;8.4%
SOFIA ELECTRIC;TINY ROOM;Double NEIPA;8.4%
SOMA; SOULFUL;NEIPA;6%
SOMA;CROSSBAR;Double NEIPA;8%
SOMA;NEURO;Double NEIPA;8%
SOMA;INDIGO;Triple NEIPA;10%
LA SOURCE;VIPERE;sour IPA;6%
LA SOURCE;INKT;Black IPA;6%
LA SOURCE;ULTRA VENERE;Imperial chili S lime sour ale;8%
LA SOURCE;MOTORMOUTH;Cocoa 8 Palo Santo wood stout;8%
THIRD MOON;DEPRAVER;NEIPA;6.5%
THIRD MOON;TRIPLE GORDIE MORTIS;Triple NEPA;10.5%
THIRD MOON;BONE TREE ;Sextuple Dry Hopped Quadruple NEIPA;10.9%
THIRD MOON;BIRTHDAY BESTOWED (2026) ;Imperial pastry Stout With chocolate cake ;11.5%
TOTENHOPFEN;DRIFT - SMOOTHIE SOUR SERIES;Lychee, peach, passionfruit, coconut etc ;5%
TOTENHOPFEN;SUMMER BREEZE;White chocolate session IPA;5.5%
TOTENHOPFEN;DRAFT TALES;New wit IPA;5.5%
TOTENHOPFEN;MOO'S SABOTAGE;Dulce de leche imperial stout;10.5%
TULETORN;MAHAVISHNU;Mango lassi peanut butter masala sour;4.5%
TULETORN;PAPILLON;Passionfruit-vanilla sour; 5.2%
TULETORN;PAVLOVA PESAKOND;Smoothie sour passionfruit/kiwi/strawb.; 6.5%
TULETORN;LUFTKUSS;Triple NEIPA ;10.5%
UNCHARTED;THE AMAZING HOP-MAN;TDH Session NEIPA;3.9%
UNCHARTED;REALITY CAN WAIT;DDH New Zealand NEIPA;6.2%
UNCHARTED;SOMETIMES THE DECISION MAKES YOU;Mountain IPA;7.1%
UNCHARTED;TOP-TIER;DOUBLE NEIPA; 7.8%
VAULT CITY;GRAPE SODA;Grape soda sour ale;5.5%
VAULT CITY;APPELTJES VAN ORANJE;Apples S oranges sour ale;6%
VAULT CITY;BRAIWELTING LIQUID;lemon and lime juice, sherbert sour ale;6.8%
VAULT CITY;PUNCH: MANDARIN, MANGO & PINEAPPLE;Fruit punch sour;7%
VAULT CITY;VERDANT Penryn, United Kingdom MARYLOU;NEW ENGLAND PALE ALE;5.2%
VAULT CITY;MARYLOU;NEW ENGLAND PALE ALE;5.2%
VAULT CITY;A MILLION RIPPLES;NE-IPA;6.5%
VAULT CITY;TENDER THORNS;NEPA;6.5%
VAULT CITY;KING OF MAY;Triple NEIPA;10%
WALHALLA;UTU;Session IPA;4.1%
WALHALLA;APHRODITE;Raspberry sour;4.5%
WALHALLA;NABIJ;Mango IPA;6%
WALHALLA;TRITON;DDH IPA;6.8%
